,location,price,bedrooms,bathrooms,garage,area
202,Santa Ana Tepetitlán,"
                    $8,000
                    
                ",2,2,1,55 m²
203,Zapopan,"
                    $33,000
                    
                ",3,3,2,130 m²
204,Lomas Altas,"
                    $30,200
                    
                ",2,2,2,148 m²
205,Zapopan,"
                    $3,150,000
                    
                ",2,2,2,86 m²
206,Lomas Altas,"
                        $28,000
                        
                    ",3,2,2,200 m²
207,Zapopan,"
                    $16,000
                    
                ",3,2,2,110 m²
208,Los Pinos,"
                        $120,000
                        
                    ",6+,4+,4+,1145 m²
209,Zapopan,"
                    $45,000
                    
                ",5,4+,4+,410 m²
210,Lomas Altas,"
                    $30,000
                    
                ",3,4+,2,160 m²
211,Puerta de Hierro,"
                    $41,755
                    
                ",2,2,2,194 m²
212,Las Cañadas,"
                    $16,000
                    
                ",2,2,1,170 m²
213,Cd del Sol,"
                    $20,000
                    
                ",4,2,2,150 m²
214,Las Cañadas,"
                    $19,393,750
                    
                ",4,4+,4+,503 m²
215,Zoto Grande Residencial,"
                    $33,413,470
                    
                ",5,4+,4+,1061 m²
216,Cd del Sol,"
                    $12,529,920
                    
                ",4,4+,3,260 m²
217,Campo Lago,"
                    $15,632,680
                    
                ",5,4+,4+,449 m²
218,Paseos del Sol,"
                    $6,500
                    
                ",2,1,1,65 m²
219,La Cima,"
                    $22,000
                    
                ",3,3,2,147 m²
220,Jardines del Valle,"
                    $15,000
                    
                ",2,3,2,105 m²
221,Atlas Chapalita,"
                    $6,700
                    
                ",2,1,1,55 m²
222,Loma Real,"
                    $120,000
                    
                ",3,4+,4+,1610 m²
223,Jal.,"
                        $12,000
                        
                    ",4,3,2,90 m²
224,La Mojonera,"
                    $32,500
                    
                ",4,4+,4+,350 m²
225,Coto Naciones Unidas,"
                    $53,000
                    
                ",4,4+,3,338 m²
226,Vallarta Cuauhtémoc,"
                    $20,500
                    
                ",3,2,2,199 m²
227,Puerta de Hierro,"
                    $45,000
                    
                ",3,4+,4+,704 m²
228,Jardines del Valle,"
                    $130,000
                    
                ",5,4+,4+,1024 m²
229,Arcos de Zapopan,"
                    $5,000
                    
                ",2,1,1,50 m²
230,Chapalita Sur,"
                    $40,000
                    
                ",5,4+,4+,906 m²
231,Ecológica Seattle,"
                    $25,000
                    
                ",2,2,2,391 m²
232,Zapopan,"
                    $85,000
                    
                ",5,4+,4+,315 m²
233,Estrada,"
                    $5,000
                    
                ",2,1,3,108 m²
234,Kodak,"
                    $17,000
                    
                ",4,2,1,16 m²
235,La Alameda,"
                    $14,600
                    
                ",0,2,2,113 m²
236,Altus Quintas,"
                    $5,500
                    
                ",2,2,2,90 m²
237,Rinconada de la Calma,"
                    $12,500
                    
                ",2,2,2,81 m²
238,Zapopan,"
                    $15,500
                    
                ",1,1,2,65 m²
239,Hab Seattle,"
                    $8,000
                    
                ",3,1,1,130 m²
240,Ciudad Bugambilias,"
                    $21,000
                    
                ",3,3,2,230 m²
241,Jardines del Sol,"
                    $38,500
                    
                ",3,4+,4+,370 m²
242,Jardines del Sol,"
                    $38,500
                    
                ",3,3,4+,370 m²
243,Zapopan,"
                    $40,000
                    
                ",3,3,2,345 m²
244,Granja,"
                    $18,800
                    
                ",2,2,2,118 m²
245,Lomas Altas,"
                    $20,000
                    
                ",2,2,2,97 m²
246,Zapopan,"
                    $9,500
                    
                ",6+,4+,4+,234 m²
247,Zapopan,"
                    $11,600
                    
                ",3,2,2,115 m²
248,Solares Residencial,"
                    $29,000
                    
                ",3,4+,2,159 m²
249,Valle Real,"
                    $59,500
                    
                ",3,3,4+,300 m²
250,Jardín Real,"
                    $21,000
                    
                ",3,3,2,144 m²
251,Zona Real,"
                    $23,000
                    
                ",3,4+,2,146 m²
252,Auditorio,"
                    $8,500
                    
                ",3,1,2,133 m²
253,Paseos del Sol,"
                    $14,400
                    
                ",3,2,2,200 m²
254,Victoria,"
                    $31,500
                    
                ",4,4+,4+,125 m²
255,San Juan de Ocotán,"
                    $18,000
                    
                ",3,4+,2,193 m²
256,Zapopan,"
                    $10,000
                    
                ",3,3,2,83 m²
257,Lomas del Batán,"
                    $9,500
                    
                ",3,2,2,125 m²
258,Colli Urbano,"
                    $9,500
                    
                ",3,1,2,77 m²
259,Jardines de Guadalupe,"
                    $29,500
                    
                ",4,2,4+,500 m²
260,Solares Residencial,"
                        $36,000
                        
                    ",3,3,2,160 m²
261,Zapopan,"
                    $17,000
                    
                ",3,2,2,105 m²
262,Hogares de Nuevo México,"
                    $10,950
                    
                ",2,2,1,84 m²
263,Zapopan,"
                    $45,000
                    
                ",3,4+,3,281 m²
264,Loma Bonita,"
                    $13,500
                    
                ",3,2,2,160 m²
265,Zapopan,"
                    $27,000
                    
                ",3,3,2,163 m²
266,Virreyes,"
                    $20,000
                    
                ",3,3,2,255 m²
267,Zapopan,"
                    $23,000
                    
                ",2,2,2,106 m²
268,La Calma,"
                    $20,500
                    
                ",3,1,2,155 m²
269,Zapopan,"
                    $23,000
                    
                ",2,2,2,105 m²
270,La Calma,"
                    $23,000
                    
                ",3,2,2,155 m²
271,Jardín Real,"
                    $20,000
                    
                ",3,3,2,154 m²
272,Jardín Real,"
                    $21,000
                    
                ",3,3,2,212 m²
